,location,total_sqft,bath,price,bhk,encoded_loc
1554,Garudachar Palya,1295.0,2,59.5,3,73
1555,Anandapura,1576.0,3,59.1,3,14
1556,Sompura,1020.0,2,41.0,2,194
1557,Raja Rajeshwari Nagar,648.0,1,31.75,1,178
1558,Neeladri Nagar,1167.0,2,38.0,3,163
1559,Hoodi,1220.0,2,50.89,2,89
1560,Vittasandra,1259.0,2,67.4,2,214
1561,Gottigere,2000.0,4,82.0,4,75
1562,8th Phase JP Nagar,1800.0,3,80.0,3,7
1563,Others,1234.0,2,61.0,2,168
1564,Mysore Road,1340.0,2,64.31,3,155
1565,Banashankari,1170.0,2,46.79,2,27
1566,Electronics City Phase 1,995.0,2,46.0,2,70
1567,Electronic City,1025.0,2,54.5,2,68
1568,Rachenahalli,2721.0,3,113.0,3,177
1569,Thanisandra,2000.0,3,99.0,3,200
1570,Mallasandra,1325.0,2,70.0,2,148
1571,Kadugodi,1314.0,2,68.2,2,109
1572,Yelahanka,1026.0,2,41.0,2,217
1573,Others,1200.0,3,66.0,3,168
1574,Others,2220.0,4,65.0,3,168
1575,KR Puram,1727.5,2,51.22,2,107
1576,Sarjapur  Road,1888.0,4,95.0,3,186
1577,Begur,1559.0,3,63.0,3,38
1578,Others,1069.0,2,55.0,2,168
1579,Sarjapur  Road,1300.0,3,60.0,3,186
1580,Channasandra,1115.0,2,33.45,2,53
1581,Marathahalli,1305.0,2,69.0,3,150
1582,Kanakpura Road,1252.0,2,56.32,2,119
1583,Whitefield,1200.0,2,46.13,2,215
1584,Subramanyapura,1313.0,2,66.5,2,196
1585,Others,1160.0,2,41.75,2,168
1586,Others,900.0,2,45.0,2,168
1587,Yelahanka New Town,1700.0,3,90.0,3,218
1588,Uttarahalli,1700.0,3,88.0,3,206
1589,Dasanapura,1500.0,3,65.0,2,59
1590,Others,1175.0,2,48.0,2,168
1591,Akshaya Nagar,1280.0,2,60.0,2,11
1592,Others,1200.0,2,50.0,2,168
1593,Electronic City,1070.0,2,46.0,2,68
1594,TC Palaya,1200.0,2,66.0,2,198
1595,9th Phase JP Nagar,1127.0,2,50.0,2,8
1596,Others,600.0,2,23.0,2,168
1597,Others,1364.0,2,70.0,2,168
1598,Others,1146.0,2,39.5,2,168
1599,Magadi Road,1345.0,2,55.0,2,146
1600,Others,1110.0,2,41.0,2,168
1601,Kengeri,750.0,2,36.0,2,127
1602,Others,1156.0,2,49.5,2,168
1603,Pattandur Agrahara,1247.0,2,59.8,2,173
1604,Kaggalipura,950.0,2,48.0,2,111
1605,Marathahalli,1215.0,2,58.86,2,150
1606,Others,900.0,1,30.0,1,168
1607,Thanisandra,1050.0,2,46.0,2,200
1608,Laggere,2800.0,5,125.0,5,143
1609,Others,1500.0,2,65.0,3,168
1610,Others,1400.0,2,65.0,2,168
1611,8th Phase JP Nagar,2700.0,4,130.0,4,7
1612,Bommasandra,920.0,2,37.46,2,47
1613,HSR Layout,1140.0,2,46.0,2,81
1614,Haralur Road,1464.0,2,56.0,2,82
1615,Electronics City Phase 1,1555.0,2,82.0,3,70
1616,Whitefield,1150.0,2,55.0,2,215
1617,Kadubeesanahalli,970.0,2,35.0,2,108
1618,Banashankari,2500.0,4,95.0,4,27
1619,Others,1166.0,2,53.0,2,168
1620,Electronic City,1350.0,3,58.0,3,68
1621,Others,900.0,2,46.0,2,168
1622,7th Phase JP Nagar,1300.0,2,52.0,3,6
1623,Others,1190.0,3,55.0,3,168
1624,Kodichikkanahalli,1495.0,2,75.0,3,130
1625,Banashankari Stage III,1350.0,2,68.0,3,29
1626,Raja Rajeshwari Nagar,1100.0,2,55.0,2,178
1627,Kaikondrahalli,1300.0,2,61.0,2,112
1628,Hoodi,1105.0,2,46.37,2,89
1629,Yelahanka,1517.0,3,76.3,3,217
1630,Others,1500.0,3,65.0,3,168
1631,Mysore Road,1082.0,3,50.5,3,155
1632,Marathahalli,1365.0,2,73.0,2,150
1633,Kodigehalli,1086.0,2,33.66,2,132
1634,Hennur,1100.0,2,60.0,2,87
1635,Electronic City Phase II,1065.0,2,30.75,2,69
1636,Others,820.0,2,24.0,2,168
1637,Nagarbhavi,1223.0,2,60.0,2,158
1638,Ananth Nagar,1200.0,2,65.0,3,15
1639,Bharathi Nagar,1351.0,2,70.0,2,41
1640,Thanisandra,1588.0,3,75.55,3,200
1641,Panathur,1370.0,2,75.0,3,171
1642,Whitefield,1500.0,3,71.8,3,215
1643,Kanakpura Road,1100.0,3,53.0,3,119
1644,Hoodi,1247.0,2,53.0,2,89
1645,Others,1033.0,2,32.0,3,168
1646,Others,1460.0,2,73.0,3,168
1647,Garudachar Palya,1150.0,2,52.8,2,73
1648,Babusapalaya,1141.0,2,46.0,2,24
1649,Kanakapura,1295.0,2,64.0,2,118
1650,Whitefield,937.0,1,32.79,1,215
1651,Rayasandra,1708.0,3,75.0,3,182
1652,Hosa Road,615.0,1,28.29,1,93
1653,Kanakpura Road,2245.0,2,66.4,3,119
1654,Jalahalli,1083.0,2,32.49,2,103
1655,Gottigere,1460.0,2,65.0,3,75
1656,Babusapalaya,1084.0,2,58.0,2,24
1657,Bommasandra,1035.0,2,41.43,2,47
1658,Hosur Road,460.0,1,21.0,1,96
1659,Whitefield,1285.0,2,55.9,2,215
1660,Others,1070.0,2,35.0,2,168
1661,AECS Layout,1199.0,2,65.0,2,9
1662,Mysore Road,1340.0,2,64.31,3,155
1663,Marathahalli,3800.0,4,205.0,4,150
1664,Subramanyapura,1050.0,2,41.0,2,196
1665,Nagarbhavi,956.0,2,49.0,2,158
1666,Sarjapur,1000.0,2,30.0,2,185
1667,Electronic City Phase II,1219.0,2,61.25,2,69
1668,Uttarahalli,1200.0,3,50.0,3,206
1669,Others,920.0,2,37.0,2,168
1670,2nd Phase Judicial Layout,525.0,1,26.0,1,2
1671,Bannerghatta Road,1427.0,2,48.51,3,35
1672,Kothannur,1270.0,3,45.0,3,136
1673,Ramamurthy Nagar,1355.0,2,40.0,3,181
1674,Nehru Nagar,2363.0,5,120.0,4,164
1675,Others,885.0,2,40.0,2,168
1676,Yelahanka,600.0,2,27.0,2,217
1677,Kanakpura Road,1339.0,2,62.0,2,119
1678,Whitefield,1130.0,2,36.0,2,215
1679,Uttarahalli,1085.0,2,43.0,2,206
1680,Yeshwanthpur,1430.0,3,72.0,3,220
1681,Others,1490.0,2,59.6,3,168
1682,Bellandur,1286.0,2,57.0,2,40
1683,Haralur Road,1000.0,2,44.0,2,82
1684,Whitefield,1215.0,2,39.0,2,215
1685,Yeshwanthpur,673.0,1,36.85,1,220
1686,Anandapura,1200.0,2,58.0,2,14
1687,Devanahalli,2400.0,5,100.0,5,61
1688,Kanakpura Road,1470.0,2,61.74,2,119
1689,Marathahalli,1785.0,3,94.0,3,150
1690,Kothanur,1460.0,3,71.0,3,137
1691,Kasturi Nagar,1500.0,2,80.0,3,123
1692,Chikkalasandra,1230.0,2,48.0,2,56
1693,Yelahanka New Town,650.0,1,20.0,1,218
1694,Thanisandra,1220.0,2,43.92,2,200
1695,Mallasandra,1665.0,3,86.91,3,148
1696,Budigere,664.0,1,35.0,1,50
1697,Sonnenahalli,1011.0,2,50.53,2,195
1698,Others,2400.0,6,130.0,6,168
1699,Others,1680.0,3,85.0,3,168
1700,Yeshwanthpur,1069.0,2,49.475,2,220
1701,Uttarahalli,1350.0,2,53.0,3,206
1702,Pattandur Agrahara,875.0,2,33.0,2,173
1703,Hennur,1231.0,2,48.0,2,87
1704,Munnekollal,1560.0,3,75.0,3,153
1705,Others,1464.0,2,56.0,2,168
1706,Devanahalli,1080.0,2,44.0,2,61
1707,Electronic City,1020.0,2,29.46,2,68
1708,Begur Road,1500.0,2,55.0,3,39
1709,Uttarahalli,1175.0,2,47.0,2,206
1710,Channasandra,1030.0,2,34.5,2,53
1711,Thanisandra,1380.0,1,62.1,1,200
1712,Others,1200.0,2,50.0,2,168
1713,Others,705.0,1,36.5,1,168
1714,Others,1800.0,3,70.0,3,168
1715,R.T. Nagar,1200.0,2,45.0,2,176
1716,Others,925.0,2,42.0,2,168
1717,Others,1230.0,2,57.0,2,168
1718,Kodichikkanahalli,1125.0,2,52.0,2,130
1719,Hebbal,1100.0,2,54.0,2,84
1720,Electronic City Phase II,1400.0,2,41.58,3,69
1721,Jakkur,1858.0,3,98.3,3,102
1722,Others,1260.0,1,41.0,1,168
1723,HSR Layout,1185.0,2,60.0,2,81
1724,Hennur,1255.0,2,58.0,2,87
1725,Raja Rajeshwari Nagar,1140.0,2,38.55,2,178
1726,Electronic City,1700.0,3,75.0,3,68
1727,Kanakpura Road,1090.0,2,54.54,2,119
1728,Green Glen Layout,1050.0,2,48.0,2,76
1729,Whitefield,1495.0,2,79.5,2,215
1730,Hennur Road,2405.0,2,93.865,3,88
1731,Dommasandra,1033.0,2,31.5,3,66
1732,Electronic City,1400.0,2,48.0,3,68
1733,Sarjapur  Road,944.0,2,35.0,2,186
1734,Whitefield,1216.0,2,66.48,2,215
1735,Others,1100.0,2,39.5,2,168
1736,Thanisandra,1743.0,3,93.25,3,200
1737,Yelahanka,1274.0,2,48.42,2,217
1738,Doddathoguru,1875.0,3,55.0,3,65
1739,Whitefield,1350.0,3,54.0,3,215
1740,Others,1219.0,2,40.0,2,168
1741,Sarjapura - Attibele Road,2400.0,3,85.0,3,187
1742,Hormavu,1141.0,2,44.4,2,92
1743,Anandapura,1151.0,2,43.1,2,14
1744,Sarjapur  Road,915.0,2,38.0,2,186
1745,Kaggadasapura,1200.0,2,53.0,2,110
1746,Singasandra,1300.0,2,65.0,2,192
1747,Kannamangala,1262.0,2,55.0,2,120
1748,Attibele,420.0,1,17.0,1,20
1749,Kanakapura,1160.0,2,46.39,2,118
1750,Kasavanhalli,1115.0,2,50.0,2,122
1751,Babusapalaya,1500.0,2,57.0,2,24
1752,Whitefield,1173.0,2,60.0,2,215
1753,Sarjapur  Road,858.0,2,31.57,2,186
1754,Uttarahalli,1689.28,3,91.2,3,206
1755,Banashankari,1425.0,3,49.88,3,27
1756,Channasandra,4200.0,6,180.0,6,53
1757,Haralur Road,4587.5,2,175.0,4,82
1758,Others,970.0,2,40.0,2,168
1759,Sarjapur,1157.0,2,40.0,2,185
1760,Kasavanhalli,1125.0,2,61.2,2,122
1761,Sonnenahalli,1157.0,2,42.0,2,195
1762,Marathahalli,4000.0,4,220.0,4,150
1763,Yeshwanthpur,1168.0,2,64.08,2,220
1764,Chandapura,877.0,2,42.0,2,52
1765,Others,1405.0,2,70.0,3,168
1766,Others,1800.0,3,65.0,3,168
1767,Others,1360.0,2,65.0,3,168
1768,Others,620.0,1,25.0,2,168
1769,Hormavu,1130.0,2,42.3,2,92
1770,Yelachenahalli,1080.0,2,55.0,2,216
1771,Singasandra,3126.0,4,120.0,4,192
1772,Begur Road,1410.0,2,52.17,3,39
1773,Bommanahalli,1375.0,3,59.0,3,46
1774,Kanakpura Road,1051.0,2,56.74,2,119
1775,Kannamangala,2400.0,4,130.0,4,120
1776,Others,1301.0,2,55.0,2,168
1777,Others,650.0,1,30.0,1,168
1778,Electronic City Phase II,1000.0,2,28.88,2,69
1779,Sarjapur  Road,984.0,2,45.91,2,186
1780,Others,910.0,1,42.0,1,168
1781,Others,1250.0,3,39.0,3,168
1782,Begur Road,1615.0,3,58.0,3,39
1783,Sarjapur  Road,1400.0,2,68.0,2,186
1784,CV Raman Nagar,1070.0,2,47.5,2,51
1785,Others,2000.0,3,85.0,3,168
1786,Raja Rajeshwari Nagar,1090.0,2,43.59,2,178
1787,Gottigere,1500.0,3,70.0,3,75
1788,Bhoganhalli,1447.0,2,75.97,2,42
1789,Kanakpura Road,1070.0,2,37.45,2,119
1790,Ramamurthy Nagar,1185.0,2,45.5,2,181
1791,Anekal,888.0,2,34.0,2,16
1792,Others,532.0,1,22.49,1,168
1793,Electronic City,700.0,1,35.0,1,68
1794,Others,902.0,2,42.0,2,168
1795,Uttarahalli,1175.0,2,47.0,2,206
1796,Doddathoguru,984.0,2,51.0,2,65
1797,Hebbal,2700.0,2,100.0,4,84
1798,Babusapalaya,1453.0,2,43.59,3,24
1799,Murugeshpalya,1845.0,3,91.0,3,154
1800,Sarjapura - Attibele Road,1676.0,3,52.0,3,187
1801,Electronic City,1360.0,2,70.5,3,68
1802,Others,1374.0,2,70.0,3,168
1803,Others,1080.0,2,55.0,2,168
1804,Doddathoguru,550.0,1,17.0,1,65
1805,Poorna Pragna Layout,1270.0,2,50.79,3,174
1806,Somasundara Palya,1033.0,2,48.0,2,193
1807,Others,1240.0,2,52.6,2,168
1808,Kambipura,883.0,2,39.0,2,115
1809,Kasavanhalli,1915.0,3,80.0,3,122
1810,Whitefield,1545.0,3,79.0,3,215
1811,Hebbal Kempapura,1150.0,2,40.0,2,85
1812,Others,1200.0,2,49.0,2,168
1813,Kengeri,963.0,2,40.0,2,127
1814,Yelahanka,1371.0,2,65.0,3,217
1815,Hennur Road,901.0,2,49.5,2,88
1816,Others,1203.0,2,59.86,2,168
1817,Horamavu Banaswadi,1357.0,2,54.0,2,91
1818,Others,1600.0,3,76.0,3,168
1819,Yelahanka New Town,350.0,1,13.5,1,218
1820,Varthur,1665.0,3,53.0,3,207
1821,Kanakapura,1277.0,2,55.0,2,118
1822,Others,1134.0,2,40.0,2,168
1823,Vasanthapura,995.0,2,34.82,2,209
1824,Kothanur,4000.0,6,150.0,6,137
1825,Electronics City Phase 1,650.0,1,23.0,1,70
1826,Electronic City,1150.0,2,38.0,2,68
1827,Electronic City Phase II,769.0,2,40.0,2,69
1828,Bommasandra,902.0,2,49.0,2,47
1829,Electronic City,1090.0,2,31.49,2,68
1830,Yelahanka,1712.0,3,82.0,3,217
1831,Somasundara Palya,1575.0,3,63.1,3,193
1832,Others,1100.0,2,56.1,2,168
1833,Electronic City,1089.0,2,45.0,2,68
1834,Horamavu Agara,1106.0,2,43.09,2,90
1835,Kengeri,927.0,2,37.0,2,127
1836,Kanakpura Road,1339.0,2,58.0,2,119
1837,Thanisandra,923.0,1,45.69,1,200
1838,Subramanyapura,1330.0,3,72.0,3,196
1839,Thanisandra,1183.0,2,59.74,2,200
1840,Pai Layout,1100.0,2,50.0,2,170
1841,Ramamurthy Nagar,1170.0,2,46.8,2,181
1842,Others,2400.0,5,120.0,5,168
1843,Raja Rajeshwari Nagar,1530.0,3,51.77,3,178
1844,Hoodi,1055.0,2,57.63,2,89
1845,Nagarbhavi,1560.0,3,66.0,3,158
1846,Sarjapur  Road,1145.0,2,49.5,2,186
1847,Whitefield,1306.0,3,54.65,3,215
1848,Others,1350.0,2,65.0,3,168
1849,Bannerghatta Road,1344.0,2,42.0,3,35
1850,Bannerghatta Road,1893.0,3,100.0,3,35
1851,Chandapura,1107.0,2,43.0,3,52
1852,Whitefield,1000.0,2,35.0,2,215
1853,Kumaraswami Layout,1000.0,2,48.5,2,140
1854,KR Puram,1100.0,2,46.0,2,107
1855,Electronic City,1110.0,2,40.0,2,68
1856,Kudlu,1027.0,2,43.0,2,138
1857,Others,1250.0,3,40.0,3,168
1858,Sarjapur  Road,1470.0,3,62.0,3,186
1859,Others,1400.0,2,62.0,3,168
1860,Bellandur,1195.0,2,51.0,2,40
1861,Narayanapura,1302.0,2,69.1,2,162
1862,Begur Road,1583.0,3,74.4,3,39
1863,Others,1488.0,2,60.0,3,168
1864,Devanahalli,1282.0,2,52.43,3,61
1865,Others,1853.0,3,82.0,3,168
1866,Others,861.0,2,35.0,2,168
1867,Others,1256.0,2,62.8,2,168
1868,Hebbal,919.0,2,49.0,2,84
1869,Margondanahalli,1625.0,3,80.0,3,151
1870,Gunjur,1195.0,2,44.0,2,78
1871,Yelenahalli,1159.0,2,60.0,2,219
1872,Whitefield,1386.0,3,57.46,3,215
1873,Jigani,5950.0,2,226.0,4,105
1874,Bommasandra,1295.0,2,50.28,3,47
1875,Others,1310.0,2,37.83,3,168
1876,Whitefield,1200.0,2,45.84,2,215
1877,Doddathoguru,1015.0,2,33.5,2,65
1878,Others,1080.0,2,39.0,2,168
1879,Kothanur,1185.0,2,59.0,2,137
1880,KR Puram,1290.0,2,49.02,2,107
1881,Others,1531.0,3,72.0,3,168
1882,Electronic City Phase II,1400.0,2,40.43,3,69
1883,Whitefield,1140.0,2,39.0,2,215
1884,Tumkur Road,1948.5,3,57.76,3,204
1885,Banashankari Stage III,2000.0,4,100.0,4,29
1886,Kaval Byrasandra,1100.0,2,46.0,2,125
1887,Others,1200.0,2,55.0,2,168
1888,Bannerghatta,1618.0,3,68.0,3,34
1889,Anandapura,1141.0,2,42.75,2,14
1890,AECS Layout,1080.0,2,55.0,2,9
1891,HBR Layout,1200.0,2,60.0,2,79
1892,Varthur,1111.0,2,41.88,2,207
1893,NGR Layout,1022.0,2,45.9,2,156
1894,Bannerghatta Road,1275.0,2,65.0,2,35
1895,Rachenahalli,1224.0,2,39.2,2,177
1896,Battarahalli,1135.0,2,43.0,2,37
1897,Rachenahalli,1050.0,2,52.1,2,177
1898,Gottigere,1621.0,3,72.0,3,75
1899,Bannerghatta Road,892.0,2,39.0,2,35
1900,Whitefield,1205.0,2,40.0,2,215
1901,Kengeri,726.0,2,35.0,2,127
1902,Horamavu Agara,1079.0,2,41.0,2,90
1903,Begur Road,1170.0,2,46.0,2,39
1904,Doddathoguru,1104.0,2,39.0,2,65
1905,Kanakpura Road,950.0,2,45.0,2,119
1906,Others,1650.0,2,52.0,3,168
1907,Others,1100.0,2,38.0,2,168
1908,Ramagondanahalli,1215.0,2,45.5,2,180
1909,Electronic City,1130.0,2,32.63,2,68
1910,Kanakpura Road,1570.0,3,64.5,3,119
1911,Hulimavu,1225.0,2,55.0,2,97
1912,Electronic City Phase II,900.0,2,32.5,2,69
1913,Ananth Nagar,908.0,2,26.0,2,15
1914,Iblur Village,1400.0,2,68.0,2,100
1915,Kudlu,1092.0,2,44.0,2,138
1916,Horamavu Banaswadi,925.0,2,38.0,2,91
1917,Raja Rajeshwari Nagar,1023.0,2,42.0,2,178
1918,Thanisandra,1020.0,2,44.5,2,200
1919,Choodasandra,1530.0,3,77.0,3,57
1920,Gubbalala,1650.0,3,71.0,3,77
1921,Others,1605.0,2,85.0,3,168
1922,Kogilu,1190.0,2,50.66,2,133
1923,Jakkur,1374.0,3,68.0,3,102
1924,Bisuvanahalli,1075.0,2,50.0,3,45
1925,Sanjay nagar,965.0,1,32.0,1,184
1926,Marathahalli,1550.0,3,83.0,3,150
1927,Others,1205.0,2,60.0,2,168
1928,Kambipura,1082.0,2,55.0,3,115
1929,Uttarahalli,1215.0,2,52.85,3,206
1930,Others,1200.0,3,46.14,2,168
1931,Kanakpura Road,1452.0,3,60.98,3,119
1932,Electronic City Phase II,1329.0,2,41.0,3,69
1933,Others,1125.0,2,44.0,2,168
1934,Sarjapur  Road,1350.0,3,39.97,3,186
1935,Electronic City Phase II,1220.0,3,35.23,3,69
1936,Somasundara Palya,1329.0,2,70.0,2,193
1937,Chandapura,1200.0,2,60.0,2,52
1938,Others,813.0,1,39.0,1,168
1939,Kalena Agrahara,800.0,2,30.0,2,113
1940,Hormavu,1500.0,3,70.0,3,92
1941,Bannerghatta Road,1880.0,3,95.0,3,35
1942,Electronic City,1440.0,2,55.0,3,68
1943,Yelahanka,1180.0,3,55.0,3,217
1944,Others,1090.0,2,36.0,2,168
1945,NGR Layout,1020.0,2,48.45,2,156
1946,Varthur,1097.0,2,33.82,2,207
1947,Raja Rajeshwari Nagar,1070.0,2,50.0,2,178
1948,Others,1150.0,2,56.0,2,168
1949,Others,1141.0,2,49.0,2,168
1950,Jigani,937.0,2,44.0,2,105
1951,Kasavanhalli,1450.0,3,77.41,3,122
1952,Others,936.0,2,43.0,2,168
1953,Babusapalaya,1050.0,2,45.0,2,24
1954,Mallasandra,1325.0,2,70.0,2,148
1955,Devanahalli,1174.0,2,59.0,2,61
1956,Others,500.0,1,24.0,1,168
1957,Bisuvanahalli,1075.0,2,52.0,3,45
1958,7th Phase JP Nagar,1212.0,3,42.0,2,6
1959,Others,1100.0,2,50.0,2,168
1960,Billekahalli,1140.0,2,50.0,2,43
1961,Kudlu Gate,1532.0,3,83.0,3,139
1962,Padmanabhanagar,1531.0,2,75.0,3,169
1963,Poorna Pragna Layout,1270.0,2,50.79,3,174
1964,Uttarahalli,1325.0,2,53.0,2,206
1965,Electronic City,1156.0,2,44.0,3,68
1966,Vittasandra,1934.0,2,90.0,2,214
1967,Malleshpalya,1060.0,2,40.0,2,149
1968,Others,3200.0,5,150.0,4,168
1969,Others,1196.0,2,56.81,2,168
1970,EPIP Zone,1280.0,2,69.0,2,67
1971,Hulimavu,1175.0,2,45.0,2,97
1972,Others,1850.0,3,98.0,3,168
1973,Hosur Road,1180.0,2,36.5,2,96
1974,Jakkur,1050.0,2,49.87,2,102
1975,Electronic City,1400.0,2,40.44,3,68
1976,Others,1512.0,1,65.01,2,168
1977,Subramanyapura,929.0,2,48.0,2,196
1978,Jigani,1252.0,3,61.0,3,105
1979,Electronics City Phase 1,1124.0,2,55.0,3,70
1980,Others,1300.0,2,70.0,3,168
1981,Marathahalli,957.0,2,47.0,2,150
1982,Hoskote,1740.0,3,60.0,3,95
1983,Neeladri Nagar,1060.0,2,35.0,2,163
1984,Others,975.0,2,50.0,2,168
1985,Ramamurthy Nagar,1150.0,2,51.0,2,181
1986,Whitefield,1738.0,2,79.0,3,215
1987,Bommanahalli,1250.0,3,55.0,3,46
1988,Bannerghatta Road,1788.0,3,90.0,3,35
1989,Kanakapura,1151.0,2,59.0,2,118
1990,Uttarahalli,1300.0,2,60.0,3,206
1991,Garudachar Palya,1150.0,2,52.8,2,73
1992,Others,1380.0,2,75.0,2,168
1993,Babusapalaya,1141.0,2,45.9,2,24
1994,Banashankari Stage V,1355.0,2,61.0,3,30
1995,Others,1000.0,2,45.0,2,168
1996,Others,3000.0,5,100.0,4,168
1997,Kothanur,1436.0,3,70.0,3,137
1998,Marathahalli,4000.0,4,220.0,4,150
1999,Dodda Nekkundi,1100.0,2,48.0,2,62
2000,Others,1080.0,2,45.0,2,168
2001,Hennur,1040.0,2,42.12,2,87
2002,Tumkur Road,1675.5,2,48.905,2,204
2003,Thanisandra,1430.0,2,51.6,3,200
2004,Others,1827.0,3,100.0,3,168
2005,Rachenahalli,1050.0,2,53.5,2,177
2006,Budigere,1820.0,3,93.0,3,50
2007,Raja Rajeshwari Nagar,1510.0,2,59.0,3,178
2008,Kumaraswami Layout,1000.0,2,36.0,2,140
2009,Others,1180.0,2,63.0,2,168
2010,Bisuvanahalli,1180.0,2,46.0,3,45
2011,Others,1300.0,3,47.0,3,168
2012,Bannerghatta Road,1157.0,2,40.0,2,35
2013,Kanakpura Road,1300.0,3,69.0,3,119
2014,Banashankari Stage III,1305.0,2,59.0,3,29
2015,Hoskote,1170.0,2,45.0,2,95
2016,Others,1155.0,2,60.0,3,168
2017,Hormavu,1725.0,3,85.0,3,92
2018,Doddathoguru,915.0,2,32.0,2,65
2019,Others,1540.0,3,68.0,3,168
2020,Others,1206.0,2,38.5,2,168
2021,Nehru Nagar,2342.0,3,115.0,4,164
2022,Others,1200.0,2,55.0,3,168
2023,Yelenahalli,1056.0,2,33.0,2,219
2024,Kanakpura Road,1450.0,3,54.3,3,119
2025,Others,1161.0,2,36.69,2,168
2026,Uttarahalli,850.0,2,35.0,2,206
2027,Electronic City,1200.0,2,59.0,2,68
2028,8th Phase JP Nagar,1080.0,2,38.0,2,7
2029,Kasavanhalli,1200.0,2,50.3,2,122
2030,Kanakpura Road,648.5,1,19.695,1,119
2031,Marathahalli,1230.0,2,57.0,2,150
2032,Kalyan nagar,1640.0,3,88.0,3,114
2033,Bommasandra,1478.0,2,44.0,3,47
2034,Banashankari,1020.0,2,40.79,2,27
2035,Kanakapura,1110.0,2,38.85,2,118
2036,Uttarahalli,1627.86,3,88.0,3,206
2037,Others,620.0,2,22.0,2,168
2038,Hosa Road,1133.0,2,52.0,2,93
2039,Marathahalli,1200.0,2,58.0,2,150
2040,Raja Rajeshwari Nagar,1128.0,2,48.79,2,178
2041,Amruthahalli,1100.0,2,45.0,2,13
2042,Kengeri Satellite Town,635.0,1,22.0,2,128
2043,Sarjapur,2020.0,3,85.0,3,185
2044,8th Phase JP Nagar,1059.0,2,34.5,2,7
2045,Panathur,1315.0,2,59.1,3,171
2046,Hennur Road,1192.0,2,62.0,3,88
2047,Whitefield,971.0,1,34.385,1,215
2048,Begur Road,2462.0,4,124.0,4,39
2049,Budigere,1636.0,3,85.0,3,50
2050,Akshaya Nagar,1430.0,2,75.0,3,11
2051,Others,2000.0,3,85.0,3,168
2052,Electronic City Phase II,993.0,2,50.0,3,69
2053,Kanakpura Road,1700.0,3,88.0,3,119
2054,Marathahalli,1650.0,3,86.45,3,150
2055,Others,1280.0,2,49.75,2,168
2056,Kothanur,1462.0,3,71.0,3,137
2057,JP Nagar,3000.0,4,140.0,4,101
2058,Electronic City Phase II,1418.0,3,52.47,3,69
2059,Others,4200.0,1,160.0,2,168
2060,JP Nagar,3000.0,4,140.0,4,101
2061,Whitefield,1200.0,3,61.96,3,215
2062,Poorna Pragna Layout,965.0,2,48.0,2,174
2063,Gottigere,812.0,1,26.0,1,75
2064,KR Puram,1100.0,2,43.0,2,107
2065,Whitefield,1180.0,2,41.0,2,215
2066,HSR Layout,1145.0,2,48.0,2,81
2067,Haralur Road,1027.0,2,44.0,2,82
2068,Others,1215.0,2,49.85,2,168
2069,7th Phase JP Nagar,3300.0,4,160.0,3,6
2070,Others,1076.0,2,52.0,2,168
2071,Yeshwanthpur,875.0,1,41.745,1,220
2072,Hulimavu,1255.0,2,69.0,2,97
2073,Kathriguppe,1365.0,2,75.08,3,124
2074,Others,1250.0,2,39.0,2,168
2075,Kereguddadahalli,1300.0,2,39.0,3,129
2076,Channasandra,1115.0,2,40.0,2,53
2077,Parappana Agrahara,1194.0,2,47.0,2,172
2078,Uttarahalli,1490.0,2,59.6,3,206
2079,Bannerghatta Road,10000.0,4,450.0,4,35
2080,Raja Rajeshwari Nagar,1267.0,2,42.85,2,178
2081,Chandapura,1200.0,1,36.0,2,52
2082,Others,1500.0,3,70.0,3,168
2083,Others,2000.0,5,80.0,4,168
2084,Raja Rajeshwari Nagar,550.0,1,21.0,1,178
2085,Pattandur Agrahara,900.0,2,42.0,2,173
2086,Others,1410.0,2,45.12,3,168
2087,Akshaya Nagar,1419.0,2,73.0,3,11
2088,Amruthahalli,1200.0,2,55.0,2,13
2089,AECS Layout,1800.0,3,65.0,3,9
2090,Gottigere,990.0,2,40.0,2,75
2091,Sarjapur  Road,1016.0,2,45.0,2,186
2092,Bannerghatta Road,1100.0,2,39.0,2,35
2093,Whitefield,1095.0,2,35.0,2,215
2094,Others,2000.0,3,85.0,3,168
2095,Budigere,1444.0,2,70.0,2,50
2096,Whitefield,1415.0,2,67.0,2,215
2097,Others,1600.0,3,72.0,3,168
2098,Whitefield,1105.0,2,41.36,2,215
2099,Electronic City,1225.0,3,45.03,3,68
2100,Kanakpura Road,1080.0,2,37.8,2,119
2101,Haralur Road,1464.0,3,56.0,3,82
2102,Others,2100.0,6,71.0,6,168
2103,Whitefield,2919.0,2,113.19,3,215
2104,5th Phase JP Nagar,1485.0,2,67.0,3,4
2105,Others,2500.0,3,75.0,3,168
2106,Whitefield,1200.0,2,45.0,2,215
2107,Bommanahalli,1110.0,2,33.0,2,46
2108,Kodichikkanahalli,1150.0,2,48.0,2,130
2109,Hormavu,1453.0,2,43.58,3,92
2110,Padmanabhanagar,1400.0,3,65.0,3,169
2111,Nagarbhavi,1515.0,2,79.0,3,158
2112,Others,1100.0,2,38.0,2,168
2113,Yelahanka,1391.0,2,64.5,3,217
2114,Begur Road,1160.0,2,42.92,2,39
2115,Chandapura,620.0,1,27.0,1,52
